model_name,nonpeaks.pearsonr,nonpeaks.mse,peaks.pearsonr,peaks.mse,nonpeaks.median_jsd,nonpeaks.median_norm_jsd,peaks.median_jsd,peaks.median_norm_jsd
Tn5_bias_model_experiment_10_bias0.5,-0.07,3.05,-0.51,7.51,0.75,0.06,0.7,0.09
Tn5_bias_model_experiment_10_bias0.9,0.0,1.37,-0.36,4.22,0.74,0.06,0.69,0.1
Tn5_bias_model_experiment_10_bias1.0,0.05,1.23,-0.28,3.85,0.74,0.06,0.69,0.1
Tn5_bias_model_experiment_10_consensuspeaks0.5,-0.03,5.77,-0.39,8.96,0.75,0.05,0.74,0.06
Tn5_bias_model_experiment_10_consensuspeaks0.9,-0.04,3.6,-0.4,6.03,0.75,0.06,0.73,0.07
Tn5_bias_model_experiment_15,0.43,1.83,-0.32,3.68,0.73,0.08,0.67,0.12
Tn5_bias_model_experiment_22_bias0.9,0.57,0.76,-0.21,4.15,0.75,0.06,0.67,0.12
Tn5_bias_model_experiment_22_bias1.5,0.57,0.66,0.28,3.09,0.75,0.06,0.67,0.12
Tn5_bias_model_experiment_4_bias0.9,0.64,1.51,0.18,1.13,0.59,0.19,0.51,0.26
Tn5_bias_model_fold_0_mm10_AtT20_1.5,0.28,0.91,0.17,2.96,0.74,0.06,0.69,0.1
Tn5_bias_model_fold_0_mm10_Lbt2_0.9,0.61,1.27,0.16,2.21,0.73,0.08,0.67,0.12
Tn5_bias_model_fold_0_mm10_adult_0.5,0.77,1.06,0.28,8.86,0.36,0.4,0.26,0.52
Tn5_bias_model_fold_0_mm10_neonatal_0.5,0.8,1.27,-0.25,7.42,0.49,0.27,0.36,0.4
Tn5_bias_model_fold_0_rn6_GH3_0.9,0.33,1.4,0.18,8.67,0.72,0.1,0.55,0.24
Tn5_bias_model_fold_0_young_celltype_bias0.5,0.55,4.08,-0.28,14.18,0.5,0.27,0.36,0.39
Tn5_bias_model_fold_0_young_celltype_bias0.6,0.59,2.96,-0.37,12.0,0.5,0.27,0.36,0.39
Tn5_bias_model_fold_0_young_celltype_bias0.7,0.69,1.97,-0.29,9.48,0.49,0.27,0.36,0.39
Tn5_bias_model_fold_0_young_celltype_bias0.8,0.76,1.61,-0.32,8.59,0.5,0.27,0.36,0.39
Tn5_bias_model_fold_0_young_celltype_bias1.0,0.79,1.15,-0.36,7.22,0.5,0.27,0.36,0.4
Tn5_bias_model_fold_0_young_trajectory,0.12,5.4,-0.58,17.0,0.63,0.16,0.49,0.26
Tn5_bias_model_fold_1,0.73,1.4,-0.04,9.54,0.32,0.44,0.25,0.52
Tn5_bias_model_fold_2,0.55,4.61,-0.1,11.02,0.32,0.44,0.25,0.53
Tn5_bias_model_fold_3,0.64,1.73,0.13,9.02,0.34,0.42,0.25,0.52
Tn5_bias_model_fold_4,0.67,2.04,0.19,8.69,0.35,0.41,0.26,0.51
