group,model_name,bias.peaks.pearsonr,bias.peaks.mse,bias.peaks.median_jsd,bias.peaks.median_norm_jsd,model.peaks.pearsonr,model.peaks.mse,model.peaks.median_jsd,model.peaks.median_norm_jsd
experiments,experiment_10_AtT20_NEO_model,0.169222,2.962771,0.69072,0.102571,0.779074,0.227105,0.684821,0.110518
experiments,experiment_10_AtT20_PAX7_model,0.187584,2.281241,0.705866,0.092928,0.766628,0.21451,0.699496,0.101976
experiments,experiment_15_model,0.164469,2.205272,0.671318,0.117593,0.712687,0.09206,0.670104,0.119304
experiments,experiment_22_TaT1_model,-0.208398,4.148037,0.670317,0.11926,0.811693,0.270056,0.652335,0.141527
experiments,experiment_24_ABS_model,0.225124,5.264223,0.607102,0.186337,0.672934,0.51222,0.543399,0.268285
experiments,experiment_24_AB_model,0.204599,6.684573,0.574418,0.214402,0.697638,0.615269,0.503546,0.306659
experiments,experiment_24_CTRL_model,0.178979,8.670763,0.54538,0.239149,0.708381,0.636368,0.468531,0.340535
experiments,experiment_24_SOX2_model,0.05611,14.244746,0.495556,0.269825,0.653241,0.571832,0.387956,0.425249
experiments,experiment_4_model,0.177869,1.132574,0.506167,0.264327,0.655594,0.08469,0.507445,0.262586
mouse,Corticotrophs_model,0.341688,2.263472,0.525077,0.238,0.759219,0.758488,0.496627,0.27684
mouse,Gonadotrophs_Gata2_KO_model,0.404937,8.76994,0.706687,0.102789,0.756263,0.636487,0.690836,0.122147
mouse,Gonadotrophs_SF1_KO_model,0.247206,26.950999,0.802241,0.025415,0.571435,1.083331,0.799072,0.028918
mouse,Gonadotrophs_model,0.376726,1.940953,0.504224,0.255615,0.791627,0.665406,0.463589,0.310552
mouse,Lactotrophs_model,0.139438,4.284624,0.316063,0.435316,0.650924,0.867134,0.243037,0.565355
mouse,Melanotrophs_model,0.32262,1.688361,0.445343,0.307768,0.756558,0.814474,0.396293,0.378208
mouse,Somatotrophs_model,0.26696,3.940949,0.308932,0.447336,0.633821,1.25034,0.251823,0.547938
mouse,Stem_cells_model,0.370496,2.828777,0.525605,0.236156,0.80632,0.966376,0.483919,0.292673
mouse,Thyrotrophs_model,0.217532,2.795378,0.561172,0.209416,0.651896,0.869603,0.530235,0.250745
mouse_young,0.0_model,-0.230047,2.17173,0.57321,0.205143,0.830614,0.566323,0.540691,0.248088
mouse_young,1.0_model,-0.23163,2.450036,0.682727,0.120595,0.821453,0.594522,0.661084,0.147479
mouse_young,2.0_model,-0.226057,5.058034,0.751144,0.067356,0.789937,0.678767,0.736769,0.084568
mouse_young,3.0_model,-0.230668,3.557973,0.725541,0.087914,0.81707,0.60618,0.706337,0.111418
mouse_young,4.0_model,-0.232615,2.976827,0.714222,0.097255,0.819335,0.518662,0.695024,0.120517
mouse_young,5.0_model,-0.231861,3.245441,0.727902,0.086436,0.808728,0.461269,0.716688,0.100003
mouse_young,6.0_model,-0.202113,2.052672,0.689101,0.114742,0.764463,0.554581,0.679784,0.126188
mouse_young,Corticotrophs_model,-0.232173,1.494003,0.656203,0.141638,0.807202,0.428276,0.645089,0.155394
mouse_young,Gonadotrophs_model,-0.233419,1.431822,0.583831,0.196866,0.832021,0.38041,0.559887,0.229218
mouse_young,Lactotrophs_model,-0.24034,1.127678,0.620358,0.168059,0.782769,0.407287,0.604391,0.188973
mouse_young,Melanotrophs_model,-0.225035,1.473248,0.599621,0.184795,0.809843,0.46079,0.576643,0.215058
mouse_young,Somatotrophs_model,-0.21322,2.120281,0.525333,0.242213,0.749687,0.592074,0.507356,0.268801
mouse_young,Stem_cells_model,-0.232645,2.995444,0.510095,0.253616,0.83783,0.530283,0.467539,0.312843
mouse_young,Thyrotrophs_model,-0.234505,1.501402,0.676084,0.126327,0.781269,0.400551,0.663702,0.141695
