pattern,num_seqlets,match0,motif0,qval0,match1,motif1,qval1,match2,motif2,qval2
pos_patterns.pattern_0,6383,MA1528.1,NFIX,0.00349017,MA1527.2,NFIC,0.00349017,MA1528.2,NFIX,0.00349017
pos_patterns.pattern_1,3708,MA1930.2,CTCF,3.59874e-18,MA1930.1,CTCF,3.59874e-18,MA0139.2,CTCF,4.13432e-16
pos_patterns.pattern_2,3336,MA0489.2,Jun,0.000518197,MA1988.1,Atf3,0.000518197,MA1928.1,BNC2,0.000518197
pos_patterns.pattern_3,1901,MA0600.1,RFX2,4.41e-08,MA0509.1,Rfx1,8.89157e-08,MA0798.1,RFX3,1.55628e-07
pos_patterns.pattern_4,1878,MA0521.3,Tcf12,0.0132011,MA0633.3,Twist2,0.0132011,MA1635.2,BHLHE22,0.0132011
pos_patterns.pattern_5,1781,MA1518.3,Lhx1,0.00155203,MA1518.2,Lhx1,0.00388006,MA0886.1,EMX2,0.00446408
pos_patterns.pattern_6,1329,MA1631.2,ASCL1,0.004929,MA0522.4,TCF3,0.004929,MA1648.2,TCF12,0.004929
pos_patterns.pattern_7,1132,MA2681.1,KLF8,5.10765e-05,MA0079.3,SP1,6.32416e-05,MA1513.1,KLF15,0.00204012
pos_patterns.pattern_8,1036,MA0067.1,Pax2,0.629843,MA0498.3,MEIS1,0.637916,MA0119.1,NFIC::TLX1,0.637916
pos_patterns.pattern_9,988,MA1100.1,ASCL1,0.00036712,MA0500.2,MYOG,0.000438909,MA0521.1,Tcf12,0.000829146
pos_patterns.pattern_10,911,MA0522.1,Tcf3,0.014337,MA0500.1,Myog,0.014337,MA0521.1,Tcf12,0.014337
pos_patterns.pattern_11,831,MA0018.1,CREB1,0.046458,MA1143.2,FOSL1::JUND,0.046458,MA0018.2,CREB1,0.046458
pos_patterns.pattern_12,714,MA1137.2,FOSL1::JUNB,0.178824,MA2573.1,ZNF836,0.178824,MA0099.4,FOS::JUN,0.178824
pos_patterns.pattern_13,607,MA0799.3,RFX4,1.38012e-06,MA0799.2,RFX4,3.22196e-06,MA1724.2,Rfx6,0.00029456
pos_patterns.pattern_14,521,MA0804.2,TBX19,1.32968e-07,MA0804.1,TBX19,1.32968e-07,MA0009.2,TBXT,2.00436e-07
pos_patterns.pattern_15,517,MA0018.5,CREB1,0.00177037,MA1475.2,CREB3L4,0.00177037,MA0492.2,JUND,0.00177037
pos_patterns.pattern_16,478,MA0052.2,MEF2A,3.34376e-07,MA0052.5,MEF2A,3.68698e-06,MA0497.2,MEF2C,4.86103e-06
pos_patterns.pattern_17,464,MA0780.1,PAX3,0.0380566,MA0680.3,Pax7,0.0380566,MA0680.1,PAX7,0.0380566
pos_patterns.pattern_18,452,MA0072.2,RORA,2.27129e-06,MA0072.1,RORA,2.83911e-06,MA1151.2,RORC,0.000114411
pos_patterns.pattern_19,435,MA0624.2,Nfatc1,0.422732,MA1501.1,HOXB7,0.422732,MA0156.1,FEV,0.422732
pos_patterns.pattern_20,419,MA0152.1,NFATC2,0.0239517,MA0606.1,NFAT5,0.0239517,MA0624.3,Nfatc1,0.0239517
pos_patterns.pattern_21,346,MA0160.3,NR4A2,0.000264874,MA1112.3,NR4A1,0.000264874,MA0160.2,NR4A2,0.000529749
pos_patterns.pattern_22,341,MA1644.1,NFYC,0.00927636,MA0060.1,NFYA,0.0104359,MA1644.2,NFYC,0.0105904
pos_patterns.pattern_23,327,MA0510.1,RFX5,3.29973e-05,MA0509.2,RFX1,0.000553793,MA0798.2,RFX3,0.000580779
pos_patterns.pattern_24,293,MA0508.1,PRDM1,0.000327929,MA0050.2,IRF1,0.000327929,MA0517.1,STAT1::STAT2,0.00202562
pos_patterns.pattern_25,242,MA0800.1,EOMES,0.697852,MA0693.2,VDR,0.697852,MA1481.1,DRGX,0.697852
pos_patterns.pattern_26,194,MA0871.3,TFEC,0.00350872,MA0603.2,Arntl,0.00350872,MA1464.2,ARNT2,0.00350872
pos_patterns.pattern_27,158,MA0506.1,NRF1,0.0027048,MA0506.3,Nrf1,0.0027048,MA0506.2,Nrf1,0.00329373
pos_patterns.pattern_28,153,MA0043.2,HLF,0.000729063,MA0843.2,TEF,0.000729063,MA0639.2,DBP,0.000729063
pos_patterns.pattern_29,143,MA0690.1,TBX21,0.00387422,MA0690.3,TBX21,0.00387422,MA0802.2,TBR1,0.00575405
pos_patterns.pattern_30,95,MA2536.1,PRDM13,0.00191757,MA0820.2,FIGLA,0.0189864,MA0521.3,Tcf12,0.0189864
pos_patterns.pattern_31,45,MA0660.1,MEF2B,0.00561607,MA0052.3,MEF2A,0.00561607,MA0773.1,MEF2D,0.0071305
neg_patterns.pattern_0,2366,MA1974.2,ZNF211,1.0,MA2544.1,ZKSCAN4,1.0,MA1974.1,ZNF211,1.0
neg_patterns.pattern_1,1821,MA1976.3,ZNF320,0.00155062,MA0741.1,KLF16,0.00155062,MA0162.2,EGR1,0.00620167
neg_patterns.pattern_2,1642,MA0750.4,ZBTB7A,0.151436,MA0114.3,Hnf4a,0.545629,MA0855.1,RXRB,0.545629
neg_patterns.pattern_3,988,MA2575.1,ZNF536,1.0,MA0520.2,Stat6,1.0,,,
neg_patterns.pattern_4,499,MA0679.2,ONECUT1,0.0385561,MA1125.2,ZNF384,0.0465066,MA0757.1,ONECUT3,0.24879
neg_patterns.pattern_5,387,MA2506.1,MYT1,0.261059,MA2488.1,ZBTB40,0.261059,MA2682.1,MYT1L,0.261059
neg_patterns.pattern_6,201,MA2575.1,ZNF536,1.0,MA2506.1,MYT1,1.0,MA1707.1,DMRTA1,1.0
neg_patterns.pattern_7,191,MA0509.1,Rfx1,0.000683929,MA0600.1,RFX2,0.000683929,MA0600.3,RFX2,0.000683929
neg_patterns.pattern_8,174,MA1548.2,PLAGL2,0.000944892,MA1548.1,PLAGL2,0.0364727,MA1102.2,CTCFL,0.040995
neg_patterns.pattern_9,146,MA1528.1,NFIX,0.000268649,MA1527.1,NFIC,0.00042951,MA1527.2,NFIC,0.00602579
neg_patterns.pattern_10,139,MA1130.2,FOSL2::JUN,1.65726e-05,MA0099.4,FOS::JUN,1.65726e-05,MA1141.2,FOS::JUND,1.65726e-05
neg_patterns.pattern_11,130,MA1988.1,Atf3,8.83952e-06,MA1128.2,FOSL1::JUN,1.44316e-05,MA0099.4,FOS::JUN,1.44316e-05
neg_patterns.pattern_12,118,MA1100.2,ASCL1,2.10534e-05,MA1938.2,ERF::NHLH1,0.00669025,MA1938.1,ERF::NHLH1,0.00669025
neg_patterns.pattern_13,112,MA0753.2,ZNF740,0.0042051,MA0753.3,ZNF740,0.0409035,MA0753.1,ZNF740,0.0409035
neg_patterns.pattern_14,108,MA1528.2,NFIX,0.00266062,MA1528.1,NFIX,0.00266062,MA1527.2,NFIC,0.00266062
neg_patterns.pattern_15,105,MA2330.1,ZBTB24,0.000294614,MA2511.1,ZNF335,0.0431169,MA2550.1,ZNF275,0.343542
neg_patterns.pattern_16,85,MA0817.1,BHLHE23,0.410004,MA0669.1,NEUROG2,0.445665,MA0623.2,NEUROG1,0.445665
neg_patterns.pattern_17,73,MA1943.1,ETV2::HOXB13,0.335936,MA1943.2,ETV2::HOXB13,0.895711,MA2537.1,SALL3,1.0
neg_patterns.pattern_18,73,MA0659.4,Mafg,0.131689,MA0496.4,MAFK,0.131689,MA1101.1,BACH2,0.161866
