pattern,num_seqlets,match0,motif0,qval0,match1,motif1,qval1,match2,motif2,qval2
pos_patterns.pattern_0,4438,MA0139.2,CTCF,7.85326e-15,MA1929.1,CTCF,7.85326e-15,MA0139.1,CTCF,8.29934e-15
pos_patterns.pattern_1,3116,MA1993.1,Neurod2,0.00420747,MA1100.2,ASCL1,0.00420747,MA1997.1,Olig2,0.00420747
pos_patterns.pattern_2,2980,MA0079.3,SP1,1.76138e-08,MA2681.1,KLF8,6.83749e-06,MA0516.1,SP2,2.27916e-05
pos_patterns.pattern_3,2035,MA1118.1,SIX1,5.46465e-06,MA1119.1,SIX2,5.46465e-06,MA2001.1,Six4,1.06265e-05
pos_patterns.pattern_4,1996,MA1528.2,NFIX,0.0012759,MA0119.1,NFIC::TLX1,0.0012759,MA1528.1,NFIX,0.0012759
pos_patterns.pattern_5,1971,MA1988.1,Atf3,0.000462307,MA1928.1,BNC2,0.000462307,MA0489.2,Jun,0.000462307
pos_patterns.pattern_6,1668,MA0714.2,PITX3,0.00702925,MA0648.2,GSC,0.0114807,MA0682.3,PITX1,0.0114807
pos_patterns.pattern_7,1315,MA0600.1,RFX2,8.5132e-07,MA0509.1,Rfx1,8.5132e-07,MA0600.3,RFX2,2.1892e-06
pos_patterns.pattern_8,1265,MA0060.1,NFYA,0.00124455,MA0502.1,NFYB,0.00173795,MA1644.2,NFYC,0.00554238
pos_patterns.pattern_9,1192,MA0018.1,CREB1,0.0297021,MA0604.1,Atf1,0.0297021,MA1143.2,FOSL1::JUND,0.0297021
pos_patterns.pattern_10,753,MA0804.2,TBX19,5.57463e-10,MA0804.1,TBX19,6.51432e-10,MA0009.2,TBXT,6.51432e-10
pos_patterns.pattern_11,700,MA0764.4,ETV4,9.32216e-07,MA0764.3,ETV4,9.32216e-07,MA0750.3,ZBTB7A,1.30657e-05
pos_patterns.pattern_12,655,MA0072.2,RORA,9.58357e-06,MA0072.1,RORA,1.19795e-05,MA1151.2,RORC,0.000447897
pos_patterns.pattern_13,638,MA0052.2,MEF2A,5.72276e-07,MA0052.5,MEF2A,5.79093e-07,MA0497.2,MEF2C,3.92504e-05
pos_patterns.pattern_14,632,MA0802.2,TBR1,0.00137903,MA0802.1,TBR1,0.00137903,MA0688.2,TBX2,0.00386855
pos_patterns.pattern_15,609,MA2546.1,ZNF131,0.00569903,MA2583.1,ZNF142,0.0159894,MA1650.1,ZBTB14,0.0159894
pos_patterns.pattern_16,522,MA0113.2,NR3C1,7.01444e-05,MA0007.2,AR,7.01444e-05,MA0727.2,NR3C2,0.00710187
pos_patterns.pattern_17,508,MA0799.3,RFX4,9.21764e-07,MA0799.2,RFX4,2.10884e-06,MA1724.2,Rfx6,0.000490202
pos_patterns.pattern_18,503,MA0506.1,NRF1,4.06105e-06,MA0506.2,Nrf1,0.000168286,MA0506.3,Nrf1,0.000860581
pos_patterns.pattern_19,359,MA0639.2,DBP,0.00254133,MA0843.2,TEF,0.00254133,MA0043.2,HLF,0.00285899
pos_patterns.pattern_20,358,MA0488.2,JUN,0.000308998,MA0488.1,JUN,0.000491715,MA1632.2,ATF2,0.000491715
pos_patterns.pattern_21,329,MA2522.1,ZNF683,0.000165583,MA0508.1,PRDM1,0.000165583,MA0081.2,SPIB,0.000457516
pos_patterns.pattern_22,290,MA0692.1,TFEB,6.89247e-06,MA0526.5,USF2,6.89247e-06,MA0620.4,MITF,6.89247e-06
pos_patterns.pattern_23,284,MA2546.1,ZNF131,0.0186687,MA1513.1,KLF15,0.0186687,MA1961.1,PATZ1,0.0186687
pos_patterns.pattern_24,252,MA0702.3,LMX1A,0.000931257,MA1518.2,Lhx1,0.000931257,MA0854.2,Alx1,0.00263333
pos_patterns.pattern_25,138,MA0095.2,YY1,0.000664769,MA0748.3,YY2,0.00277745,MA0748.2,YY2,0.00697372
