pattern,num_seqlets,match0,motif0,qval0,match1,motif1,qval1,match2,motif2,qval2
pos_patterns.pattern_0,4029,MA0139.2,CTCF,1.72467e-15,MA1929.1,CTCF,1.72467e-15,MA0139.1,CTCF,2.03589e-15
pos_patterns.pattern_1,3673,MA1100.1,ASCL1,0.00101951,MA1993.1,Neurod2,0.00101951,MA2536.1,PRDM13,0.00101951
pos_patterns.pattern_2,3578,MA2681.1,KLF8,9.37162e-06,MA0079.3,SP1,0.000205761,MA1513.1,KLF15,0.00213661
pos_patterns.pattern_3,3114,MA0835.3,BATF3,0.00431528,MA0462.3,BATF::JUN,0.00431528,MA1634.2,BATF,0.00431528
pos_patterns.pattern_4,2786,MA0505.3,Nr5a2,0.000792943,MA1540.3,Nr5a1,0.000792943,MA0505.2,Nr5A2,0.000792943
pos_patterns.pattern_5,2723,MA0007.2,AR,9.38665e-08,MA0113.2,NR3C1,0.000308905,MA0727.2,NR3C2,0.00148695
pos_patterns.pattern_6,1974,MA0714.2,PITX3,0.00176063,MA0714.1,PITX3,0.00352125,MA0648.2,GSC,0.00379312
pos_patterns.pattern_7,1881,MA1119.1,SIX2,3.05784e-07,MA1118.1,SIX1,3.17983e-07,MA2001.1,Six4,4.79385e-07
pos_patterns.pattern_8,1401,MA0060.1,NFYA,2.62252e-05,MA0502.1,NFYB,0.00301325,MA1644.2,NFYC,0.0087156
pos_patterns.pattern_9,1245,MA1528.1,NFIX,0.000288264,MA1527.2,NFIC,0.000288264,MA1527.1,NFIC,0.00031954
pos_patterns.pattern_10,1138,MA0600.1,RFX2,1.93309e-07,MA0509.1,Rfx1,2.86772e-07,MA0600.3,RFX2,7.95767e-07
pos_patterns.pattern_11,779,MA0018.1,CREB1,0.0307293,MA0018.2,CREB1,0.0307293,MA0604.1,Atf1,0.0307293
pos_patterns.pattern_12,550,MA0062.1,GABPA,0.000451023,MA0062.2,Gabpa,0.000451023,MA0598.2,EHF,0.000451023
pos_patterns.pattern_13,514,MA0506.1,NRF1,0.00180921,MA0506.3,Nrf1,0.00180921,MA0506.2,Nrf1,0.00180921
