pattern,num_seqlets,match0,motif0,qval0,match1,motif1,qval1,match2,motif2,qval2
pos_patterns.pattern_0,5515,MA1929.2,CTCF,1.8654e-13,MA1930.2,CTCF,1.8654e-13,MA1929.1,CTCF,1.8654e-13
pos_patterns.pattern_1,4715,MA2681.1,KLF8,2.54467e-05,MA0079.3,SP1,0.000480711,MA1513.1,KLF15,0.0029391
pos_patterns.pattern_2,2830,MA0478.2,FOSL2,0.000374546,MA0478.1,FOSL2,0.000374546,MA0477.1,FOSL1,0.000426014
pos_patterns.pattern_3,2791,MA1528.2,NFIX,0.000959174,MA0119.1,NFIC::TLX1,0.000959174,MA1528.1,NFIX,0.00157194
pos_patterns.pattern_4,2448,MA0060.1,NFYA,0.0003493,MA0502.1,NFYB,0.00304674,MA1644.2,NFYC,0.0081483
pos_patterns.pattern_5,1903,MA0506.1,NRF1,0.00074636,MA0506.3,Nrf1,0.00074636,MA0506.2,Nrf1,0.000902172
pos_patterns.pattern_6,1578,MA0600.1,RFX2,5.77213e-11,MA0798.1,RFX3,8.95852e-09,MA0509.1,Rfx1,8.95852e-09
pos_patterns.pattern_7,1265,MA0048.1,NHLH1,0.0319286,MA0521.3,Tcf12,0.0319286,MA0633.3,Twist2,0.0319286
pos_patterns.pattern_8,906,MA0018.1,CREB1,0.0391975,MA0018.2,CREB1,0.0391975,MA0604.1,Atf1,0.0391975
pos_patterns.pattern_9,725,MA0799.3,RFX4,2.02816e-09,MA0799.2,RFX4,3.40102e-09,MA1724.2,Rfx6,0.00783305
pos_patterns.pattern_10,688,MA0526.5,USF2,0.000254735,MA0692.1,TFEB,0.000254735,MA0871.3,TFEC,0.000254735
pos_patterns.pattern_11,621,MA1993.1,Neurod2,0.0291177,MA0461.1,Atoh1,0.03347,MA1100.2,ASCL1,0.03347
pos_patterns.pattern_12,540,MA1100.1,ASCL1,0.000413636,MA2536.1,PRDM13,0.00814273,MA0521.3,Tcf12,0.00814273
pos_patterns.pattern_13,529,MA0025.1,NFIL3,0.0140611,MA0043.2,HLF,0.0140611,MA0639.1,DBP,0.0140611
pos_patterns.pattern_14,516,MA0759.3,ELK3,1.52785e-05,MA2340.1,Zbtb2,1.52785e-05,MA0062.2,Gabpa,1.52785e-05
pos_patterns.pattern_15,456,MA2488.1,ZBTB40,0.138461,MA0681.2,PHOX2B,0.138461,MA1125.1,ZNF384,0.158369
pos_patterns.pattern_16,443,MA1119.1,SIX2,0.00116823,MA1118.1,SIX1,0.00116823,MA2001.1,Six4,0.00177401
pos_patterns.pattern_17,415,MA0528.1,ZNF263,0.00161254,MA1653.1,ZNF148,0.00390487,MA0516.1,SP2,0.00390487
pos_patterns.pattern_18,341,MA1100.1,ASCL1,2.99792e-05,MA0500.2,MYOG,0.00387634,MA1100.2,ASCL1,0.007529
pos_patterns.pattern_19,325,MA0088.3,ZNF143,1.15747e-08,MA1573.1,THAP11,4.25906e-08,MA1573.2,Thap11,5.48219e-07
pos_patterns.pattern_20,311,MA1929.2,CTCF,0.00523717,MA1929.1,CTCF,0.00523717,MA1100.2,ASCL1,0.00523717
pos_patterns.pattern_21,91,MA0139.2,CTCF,4.05031e-08,MA1929.1,CTCF,1.20052e-07,MA1929.2,CTCF,6.81088e-07
pos_patterns.pattern_22,41,MA1548.2,PLAGL2,0.386482,MA1548.1,PLAGL2,0.386482,MA1976.3,ZNF320,0.386482
pos_patterns.pattern_23,41,MA0741.1,KLF16,0.00393478,MA0753.1,ZNF740,0.00393478,MA1513.1,KLF15,0.00393478
pos_patterns.pattern_24,31,MA2543.1,ZBTB47,1.0,MA1657.2,ZNF652,1.0,MA0912.1,Hoxd3,1.0
pos_patterns.pattern_25,27,MA0748.2,YY2,1.0,MA2538.1,CGGBP1,1.0,MA2569.1,ZNF676,1.0
pos_patterns.pattern_26,27,MA0502.2,NFYB,0.00208764,MA0502.3,NFYB,0.0117477,MA0060.1,NFYA,0.133423
pos_patterns.pattern_27,20,MA2003.2,NKX2-4,1.0,MA2509.1,ZBTB5,1.0,MA0124.3,Nkx3-1,1.0
pos_patterns.pattern_28,20,MA0060.4,NFYA,0.420538,MA1644.1,NFYC,0.420538,MA0060.3,NFYA,0.420538
neg_patterns.pattern_0,2161,,,,,,,,,
neg_patterns.pattern_1,1641,MA0508.3,PRDM1,0.300483,MA0081.2,SPIB,0.300483,MA0039.1,Klf4,0.300483
neg_patterns.pattern_2,1594,MA0482.1,Gata4,1.0,MA2101.1,ZNF677,1.0,MA0111.1,Spz1,1.0
neg_patterns.pattern_3,1559,MA0679.2,ONECUT1,0.0352522,MA2124.1,Hmga1,0.0352522,MA1607.1,Foxl2,0.0352522
neg_patterns.pattern_4,1557,MA1125.2,ZNF384,0.143479,MA0481.1,FOXP1,0.143479,MA1125.1,ZNF384,0.143479
neg_patterns.pattern_5,1330,MA0140.1,Gata1::Tal1,1.0,MA0007.2,AR,1.0,MA1623.1,Stat2,1.0
neg_patterns.pattern_6,936,MA0471.2,E2F6,0.0359498,MA0516.1,SP2,0.0359498,MA0516.3,SP2,0.0359498
neg_patterns.pattern_7,703,MA1522.2,MAZ,0.0162006,MA1522.1,MAZ,0.0162006,MA0599.1,KLF5,0.0162006
neg_patterns.pattern_8,643,MA0060.1,NFYA,0.00285332,MA0502.1,NFYB,0.00619073,MA1644.2,NFYC,0.008768
neg_patterns.pattern_9,599,MA2486.1,Fosb,0.00379991,MA0489.2,Jun,0.00379991,MA0462.3,BATF::JUN,0.00379991
neg_patterns.pattern_10,548,MA0119.1,NFIC::TLX1,0.000861914,MA1528.2,NFIX,0.00109738,MA1643.2,NFIB,0.00109738
neg_patterns.pattern_11,471,MA0018.2,CREB1,0.0175936,MA1143.2,FOSL1::JUND,0.0175936,MA1143.1,FOSL1::JUND,0.0175936
neg_patterns.pattern_12,462,MA0139.2,CTCF,0.0017216,MA1102.1,CTCFL,0.0017216,MA0139.1,CTCF,0.00237673
neg_patterns.pattern_13,399,MA1100.1,ASCL1,0.0224372,MA0139.2,CTCF,0.0224372,MA2536.1,PRDM13,0.0224372
neg_patterns.pattern_14,359,MA0139.2,CTCF,4.23175e-11,MA1929.1,CTCF,4.23175e-11,MA0139.1,CTCF,7.56483e-11
neg_patterns.pattern_15,323,MA1961.1,PATZ1,7.17525e-08,MA1961.2,PATZ1,2.69742e-07,MA1513.1,KLF15,3.08101e-06
neg_patterns.pattern_16,299,MA0600.1,RFX2,1.57442e-08,MA0600.3,RFX2,3.02246e-08,MA0798.1,RFX3,3.02246e-08
neg_patterns.pattern_17,217,MA0028.3,ELK1,0.062309,MA0156.4,FEV,0.062309,MA0475.3,FLI1,0.062309
neg_patterns.pattern_18,187,MA0521.3,Tcf12,0.106763,MA0633.3,Twist2,0.106763,MA1635.2,BHLHE22,0.106763
neg_patterns.pattern_19,165,MA0799.3,RFX4,7.52926e-08,MA0799.2,RFX4,1.44834e-07,MA1724.2,Rfx6,0.00142367
neg_patterns.pattern_20,165,MA0600.1,RFX2,0.0430822,MA1528.1,NFIX,0.127446,MA0147.3,MYC,0.134381
neg_patterns.pattern_21,140,MA1118.1,SIX1,5.26825e-05,MA2001.1,Six4,8.64426e-05,MA1118.2,SIX1,8.71666e-05
neg_patterns.pattern_22,137,MA0639.2,DBP,0.0177259,MA0843.2,TEF,0.0177259,MA0043.1,HLF,0.0177259
neg_patterns.pattern_23,137,MA1928.2,BNC2,0.0185286,MA0462.3,BATF::JUN,0.0185286,MA0835.3,BATF3,0.0185286
neg_patterns.pattern_24,123,MA0060.1,NFYA,0.105874,MA0502.3,NFYB,0.105874,MA0502.2,NFYB,0.189418
neg_patterns.pattern_25,97,MA0526.5,USF2,0.00340203,MA0692.1,TFEB,0.00340203,MA0831.3,TFE3,0.00340203
neg_patterns.pattern_26,21,MA0116.1,Znf423,0.291316,MA1649.1,ZBTB12,0.291316,MA0003.3,TFAP2A,0.291316
