pattern,num_seqlets,match0,motif0,qval0,match1,motif1,qval1,match2,motif2,qval2
pos_patterns.pattern_0,3718,MA0139.2,CTCF,3.83607e-15,MA1929.1,CTCF,3.83607e-15,MA0139.1,CTCF,4.31134e-15
pos_patterns.pattern_1,2718,MA0462.3,BATF::JUN,0.0029005,MA0835.3,BATF3,0.0029005,MA1634.2,BATF,0.0029005
pos_patterns.pattern_2,2469,MA0505.3,Nr5a2,0.000565185,MA1540.3,Nr5a1,0.000565185,MA0505.2,Nr5A2,0.000565185
pos_patterns.pattern_3,2459,MA1119.1,SIX2,2.47874e-07,MA1118.1,SIX1,4.3072e-07,MA2001.1,Six4,4.3072e-07
pos_patterns.pattern_4,2322,MA0682.1,Pitx1,0.0025712,MA0714.2,PITX3,0.00478513,MA0714.1,PITX3,0.00801776
pos_patterns.pattern_5,2142,MA1966.1,TFAP4::ETV1,0.00780432,MA1100.1,ASCL1,0.00838711,MA0522.1,Tcf3,0.00838711
pos_patterns.pattern_6,1718,MA2681.1,KLF8,0.00012899,MA0079.3,SP1,0.00278286,MA1513.1,KLF15,0.00278286
pos_patterns.pattern_7,1629,MA1528.2,NFIX,0.00333618,MA0119.1,NFIC::TLX1,0.00333618,MA1527.2,NFIC,0.00333618
pos_patterns.pattern_8,1326,MA0139.2,CTCF,0.0111143,MA1930.2,CTCF,0.0111143,MA1930.1,CTCF,0.0111143
pos_patterns.pattern_9,1264,MA0007.2,AR,1.19326e-05,MA0113.2,NR3C1,0.0014099,MA2327.1,PGR,0.010765
pos_patterns.pattern_10,1089,MA0060.1,NFYA,0.000324137,MA0502.1,NFYB,0.00562664,MA0060.4,NFYA,0.00705192
pos_patterns.pattern_11,1082,MA0600.1,RFX2,2.19022e-08,MA0509.1,Rfx1,7.71365e-08,MA0600.3,RFX2,7.71365e-08
pos_patterns.pattern_12,645,MA0018.1,CREB1,8.45509e-06,MA1131.2,FOSL2::JUN,0.000645832,MA1131.1,FOSL2::JUN,0.000645832
pos_patterns.pattern_13,576,MA0528.1,ZNF263,0.000303511,MA0079.2,SP1,0.000303511,MA1653.1,ZNF148,0.000303511
pos_patterns.pattern_14,519,MA2546.1,ZNF131,0.00102944,MA0506.2,Nrf1,0.0097921,MA2583.1,ZNF142,0.0153022
pos_patterns.pattern_15,519,MA0062.2,Gabpa,3.74459e-05,MA0750.3,ZBTB7A,6.94655e-05,MA0764.4,ETV4,6.94655e-05
pos_patterns.pattern_16,468,MA0506.1,NRF1,0.000859046,MA0506.3,Nrf1,0.000859046,MA0506.2,Nrf1,0.00114539
pos_patterns.pattern_17,386,MA0526.2,USF2,0.000244651,MA0831.1,TFE3,0.000276268,MA0871.3,TFEC,0.000276268
pos_patterns.pattern_18,308,MA0018.4,CREB1,0.000342125,MA0488.2,JUN,0.000342125,MA1632.2,ATF2,0.000342125
pos_patterns.pattern_19,297,MA0799.3,RFX4,2.71709e-06,MA0799.2,RFX4,5.23053e-06,MA1724.2,Rfx6,0.000463145
pos_patterns.pattern_20,243,MA0472.1,Egr2,0.000424757,MA0162.1,Egr1,0.0135014,MA0162.5,EGR1,0.0135014
pos_patterns.pattern_21,204,MA0521.3,Tcf12,0.0103627,MA0633.3,Twist2,0.0103627,MA1635.2,BHLHE22,0.0103627
pos_patterns.pattern_22,134,MA0050.2,IRF1,2.47296e-06,MA0508.1,PRDM1,0.000129928,MA0517.1,STAT1::STAT2,0.000129928
pos_patterns.pattern_23,126,MA0052.3,MEF2A,9.14594e-07,MA0773.1,MEF2D,9.14594e-07,MA0052.2,MEF2A,1.52432e-06
pos_patterns.pattern_24,123,MA0088.3,ZNF143,3.33029e-15,MA1573.2,Thap11,6.61698e-07,MA1573.1,THAP11,2.52606e-05
pos_patterns.pattern_25,121,MA0095.2,YY1,0.0362832,MA0095.3,Yy1,0.196212,MA0864.1,E2F2,0.257216
pos_patterns.pattern_26,117,MA0521.3,Tcf12,0.0110772,MA0633.3,Twist2,0.0110772,MA1635.2,BHLHE22,0.0110772
pos_patterns.pattern_27,97,MA0498.1,Meis1,0.0206809,MA1993.1,Neurod2,0.0206809,MA0521.3,Tcf12,0.0206809
pos_patterns.pattern_28,67,MA1105.1,GRHL2,1.0,MA2462.1,ZNF250,1.0,,,
pos_patterns.pattern_29,64,MA0841.2,NFE2,0.575379,MA1135.1,FOSB::JUNB,0.575379,MA1138.1,FOSL2::JUNB,0.575379
pos_patterns.pattern_30,51,MA0050.1,IRF1,0.000108134,MA0051.2,IRF2,0.000121504,MA0051.1,IRF2,0.000121504
pos_patterns.pattern_31,50,MA0639.2,DBP,1.75843e-07,MA0639.1,DBP,2.63764e-07,MA0843.2,TEF,2.1998e-06
pos_patterns.pattern_32,48,MA2503.1,Banp,1.09396e-05,MA0527.2,ZBTB33,1.42349e-05,MA0527.1,ZBTB33,5.69395e-05
pos_patterns.pattern_33,35,MA1548.1,PLAGL2,1.0,MA1581.2,ZBTB6,1.0,MA2003.2,NKX2-4,1.0
pos_patterns.pattern_34,33,MA1105.1,GRHL2,1.0,MA2462.1,ZNF250,1.0,MA1125.2,ZNF384,1.0
pos_patterns.pattern_35,32,MA0160.2,NR4A2,1.0,MA1112.2,NR4A1,1.0,MA2575.1,ZNF536,1.0
pos_patterns.pattern_36,29,MA0043.2,HLF,0.0946829,MA0843.2,TEF,0.0946829,MA0639.2,DBP,0.0946829
pos_patterns.pattern_37,26,MA0787.1,POU3F2,0.0596433,MA0786.1,POU3F1,0.0596433,MA0784.3,POU1F1,0.0596433
pos_patterns.pattern_38,24,MA1573.1,THAP11,0.00161849,MA0088.3,ZNF143,0.00161849,MA0697.3,Zic3,0.121618
neg_patterns.pattern_0,6909,MA0750.4,ZBTB7A,0.000906334,MA0114.3,Hnf4a,0.252365,MA2511.1,ZNF335,0.252365
neg_patterns.pattern_1,1247,MA0738.1,HIC2,0.345966,MA1986.1,ZNF692,0.345966,MA2578.1,ZBTB8A,0.345966
neg_patterns.pattern_2,1064,MA2593.1,ZNF362,0.00184103,MA1125.2,ZNF384,0.00451681,MA1125.1,ZNF384,0.0153383
neg_patterns.pattern_3,653,MA2593.1,ZNF362,0.0534623,MA0080.5,SPI1,0.16442,MA1125.2,ZNF384,0.274676
neg_patterns.pattern_4,599,MA0139.2,CTCF,0.000706151,MA0139.1,CTCF,0.0679964,MA1102.1,CTCFL,0.0986174
neg_patterns.pattern_5,585,MA0679.2,ONECUT1,0.11747,MA0757.1,ONECUT3,0.11747,MA0757.2,ONECUT3,0.11747
neg_patterns.pattern_6,575,MA1513.1,KLF15,0.00011166,MA1961.2,PATZ1,0.00011166,MA1961.1,PATZ1,0.000148867
neg_patterns.pattern_7,551,MA1650.1,ZBTB14,0.021077,MA0162.4,EGR1,0.0214828,MA0516.1,SP2,0.0214828
neg_patterns.pattern_8,530,MA0528.1,ZNF263,0.06355,MA0080.5,SPI1,0.077404,MA2689.1,ZNF470,0.0839866
neg_patterns.pattern_9,530,MA0655.1,JDP2,0.000166012,MA0478.2,FOSL2,0.000166012,MA0477.1,FOSL1,0.000166012
neg_patterns.pattern_10,488,MA0505.3,Nr5a2,0.000393786,MA0505.2,Nr5A2,0.000525047,MA0505.1,Nr5a2,0.000525047
neg_patterns.pattern_11,482,MA1118.1,SIX1,1.72792e-07,MA2001.1,Six4,1.72792e-07,MA1119.1,SIX2,1.72792e-07
neg_patterns.pattern_12,432,MA2521.1,FIZ1,0.0398277,MA0693.2,VDR,0.128771,MA0693.4,Vdr,0.167736
neg_patterns.pattern_13,404,MA1993.1,Neurod2,6.49564e-05,MA1997.1,Olig2,0.000304332,MA1100.1,ASCL1,0.00106752
neg_patterns.pattern_14,398,MA1930.2,CTCF,1.0,MA1930.1,CTCF,1.0,MA0139.1,CTCF,1.0
neg_patterns.pattern_15,343,MA0682.3,PITX1,0.00193717,MA0714.2,PITX3,0.00193717,MA0682.1,Pitx1,0.00232461
neg_patterns.pattern_16,331,MA0516.1,SP2,8.97255e-06,MA0079.3,SP1,0.000141843,MA0162.4,EGR1,0.000161095
neg_patterns.pattern_17,297,MA0592.4,ESRRA,0.00705234,MA0505.1,Nr5a2,0.00705234,MA0141.1,Esrrb,0.00705234
neg_patterns.pattern_18,284,MA1528.1,NFIX,0.0050668,MA1527.2,NFIC,0.0050668,MA1527.1,NFIC,0.0050668
