pattern,num_seqlets,match0,motif0,qval0,match1,motif1,qval1,match2,motif2,qval2
pos_patterns.pattern_0,3711,MA0139.2,CTCF,1.48678e-15,MA1930.2,CTCF,1.48678e-15,MA1930.1,CTCF,1.48678e-15
pos_patterns.pattern_1,3540,MA0790.1,POU4F1,0.421836,MA0791.1,POU4F3,0.421836,MA0683.1,POU4F2,0.455805
pos_patterns.pattern_2,2940,MA0835.3,BATF3,0.00307421,MA1988.2,Atf3,0.00307421,MA2486.1,Fosb,0.00307421
pos_patterns.pattern_3,2468,MA0790.1,POU4F1,0.00281164,MA0791.1,POU4F3,0.00288458,MA0791.2,POU4F3,0.00565254
pos_patterns.pattern_4,2389,MA1467.2,Atoh1,1.83479e-05,MA1642.1,NEUROG2,9.61172e-05,MA1109.1,NEUROD1,0.000142963
pos_patterns.pattern_5,2212,MA2681.1,KLF8,0.000195102,MA0079.3,SP1,0.00036765,MA1513.1,KLF15,0.00230192
pos_patterns.pattern_6,2178,MA0119.1,NFIC::TLX1,0.0114806,MA1528.2,NFIX,0.0114806,MA1527.2,NFIC,0.0114806
pos_patterns.pattern_7,1354,MA0135.2,Lhx3,0.0104074,MA0135.1,Lhx3,0.0104074,MA0703.3,LMX1B,0.0104074
pos_patterns.pattern_8,1210,MA0714.2,PITX3,0.000105186,MA0714.1,PITX3,0.000210372,MA0682.1,Pitx1,0.00248334
pos_patterns.pattern_9,1125,MA0600.1,RFX2,1.4814e-06,MA0509.1,Rfx1,2.28929e-06,MA0600.3,RFX2,2.28929e-06
pos_patterns.pattern_10,1091,MA0502.1,NFYB,0.000988983,MA0060.1,NFYA,0.000988983,MA1644.2,NFYC,0.00714392
pos_patterns.pattern_11,779,MA1143.2,FOSL1::JUND,0.000373874,MA1143.1,FOSL1::JUND,0.000373874,MA0018.1,CREB1,0.000373874
pos_patterns.pattern_12,574,MA1124.1,ZNF24,1.0,MA0790.1,POU4F1,1.0,MA0791.1,POU4F3,1.0
pos_patterns.pattern_13,532,MA0506.1,NRF1,8.26306e-06,MA0506.3,Nrf1,8.26306e-06,MA0506.2,Nrf1,1.10174e-05
pos_patterns.pattern_14,458,MA0750.3,ZBTB7A,2.83416e-05,MA0076.3,ELK4,2.83416e-05,MA0062.2,Gabpa,2.83416e-05
pos_patterns.pattern_15,430,MA1111.2,NR2F2,0.00358504,MA1112.3,NR4A1,0.00358504,MA0592.4,ESRRA,0.00358504
pos_patterns.pattern_16,404,MA0799.3,RFX4,1.0054e-05,MA0799.2,RFX4,1.72424e-05,MA1724.2,Rfx6,0.0003419
pos_patterns.pattern_17,396,MA1632.2,ATF2,7.42866e-05,MA1632.1,ATF2,0.000125125,MA0488.2,JUN,0.000125125
pos_patterns.pattern_18,381,MA0258.2,ESR2,5.75973e-11,MA0112.2,ESR1,1.13447e-08,MA0112.4,ESR1,2.98572e-07
pos_patterns.pattern_19,294,MA2546.1,ZNF131,0.00447557,MA2583.1,ZNF142,0.00848721,MA1650.1,ZBTB14,0.0518401
pos_patterns.pattern_20,250,MA0526.2,USF2,0.000193967,MA0871.3,TFEC,0.000193967,MA0692.1,TFEB,0.000193967
pos_patterns.pattern_21,244,MA0052.5,MEF2A,6.59642e-07,MA0052.4,MEF2A,1.97893e-06,MA0052.2,MEF2A,0.000205457
pos_patterns.pattern_22,224,MA0007.2,AR,9.02212e-07,MA0113.2,NR3C1,0.000271002,MA0727.2,NR3C2,0.00232044
pos_patterns.pattern_23,135,MA0088.3,ZNF143,4.43686e-12,MA0088.1,znf143,0.000586305,MA0144.3,STAT3,0.0078743
pos_patterns.pattern_24,113,MA1113.3,PBX2,0.0997232,MA1640.2,MEIS2,0.0997232,MA0683.2,POU4F2,0.115932
pos_patterns.pattern_25,111,MA0148.4,FOXA1,0.145744,MA2592.1,MKX,0.55822,MA2679.1,IRX2,0.55822
pos_patterns.pattern_26,102,MA0095.2,YY1,0.000668522,MA0748.3,YY2,0.00379972,MA0748.2,YY2,0.00631993
pos_patterns.pattern_27,65,MA0139.2,CTCF,9.97878e-08,MA0139.1,CTCF,0.000178738,MA1102.1,CTCFL,0.00154073
