pattern,num_seqlets,match0,motif0,qval0,match1,motif1,qval1,match2,motif2,qval2
pos_patterns.pattern_0,4232,MA1929.1,CTCF,3.77367e-16,MA0139.2,CTCF,9.47925e-16,MA1930.2,CTCF,9.47925e-16
pos_patterns.pattern_1,3018,MA1528.2,NFIX,0.00215083,MA0119.1,NFIC::TLX1,0.00215083,MA1528.1,NFIX,0.00215083
pos_patterns.pattern_2,2284,MA0489.2,Jun,0.000577394,MA1988.1,Atf3,0.000577394,MA1928.1,BNC2,0.000577394
pos_patterns.pattern_3,2210,MA2681.1,KLF8,8.9151e-05,MA0079.3,SP1,0.000260422,MA1513.1,KLF15,0.00263449
pos_patterns.pattern_4,2003,MA0521.3,Tcf12,0.0246275,MA0633.3,Twist2,0.0246275,MA1635.2,BHLHE22,0.0246275
pos_patterns.pattern_5,1632,MA1518.3,Lhx1,0.0938346,MA0885.2,Dlx2,0.0938346,MA1476.2,Dlx5,0.0938346
pos_patterns.pattern_6,1236,MA0600.1,RFX2,4.19227e-06,MA0509.1,Rfx1,4.19227e-06,MA0600.3,RFX2,4.19227e-06
pos_patterns.pattern_7,1163,MA1631.2,ASCL1,0.00190919,MA1648.1,TCF12,0.00190919,MA1631.1,ASCL1,0.00190919
pos_patterns.pattern_8,1156,MA0671.2,NFIX,0.0211982,MA0161.1,NFIC,0.0211982,MA0670.2,NFIA,0.0541087
pos_patterns.pattern_9,1087,MA0522.1,Tcf3,0.0392924,MA1629.1,Zic2,0.0392924,MA2536.1,PRDM13,0.0392924
pos_patterns.pattern_10,1003,MA0060.1,NFYA,3.14431e-05,MA0502.1,NFYB,0.00805581,MA1644.2,NFYC,0.00899547
pos_patterns.pattern_11,958,MA0018.1,CREB1,0.0162317,MA0018.2,CREB1,0.0250933,MA0604.1,Atf1,0.0250933
pos_patterns.pattern_12,878,MA1100.2,ASCL1,0.000560241,MA0500.3,MYOG,0.000795953,MA1100.3,ASCL1,0.000795953
pos_patterns.pattern_13,576,MA0799.3,RFX4,1.28581e-06,MA0799.2,RFX4,2.14302e-06,MA1724.2,Rfx6,0.000280076
pos_patterns.pattern_14,497,MA0804.2,TBX19,4.10998e-06,MA0804.1,TBX19,8.12102e-06,MA0802.2,TBR1,1.27266e-05
pos_patterns.pattern_15,496,MA2546.1,ZNF131,0.000490384,MA2583.1,ZNF142,0.0157096,MA1650.1,ZBTB14,0.0272882
pos_patterns.pattern_16,493,MA0506.1,NRF1,3.73561e-05,MA0506.3,Nrf1,3.73561e-05,MA0506.2,Nrf1,4.98081e-05
pos_patterns.pattern_17,457,MA0076.3,ELK4,0.000211461,MA1483.3,ELF2,0.000211461,MA0076.2,ELK4,0.000211461
pos_patterns.pattern_18,448,MA0052.2,MEF2A,4.17883e-09,MA0052.3,MEF2A,8.03464e-07,MA0497.1,MEF2C,1.45618e-06
pos_patterns.pattern_19,411,MA0625.1,NFATC3,0.00531411,MA1525.1,NFATC4,0.00531411,MA0152.1,NFATC2,0.00531411
pos_patterns.pattern_20,370,MA0067.1,Pax2,0.918423,MA0800.1,EOMES,1.0,MA0498.3,MEIS1,1.0
pos_patterns.pattern_21,369,MA0072.2,RORA,1.04199e-05,MA0072.1,RORA,1.30249e-05,MA1151.2,RORC,0.000557185
pos_patterns.pattern_22,360,MA0620.4,MITF,3.0588e-06,MA0831.3,TFE3,3.46037e-06,MA0620.2,MITF,3.65085e-06
pos_patterns.pattern_23,298,MA2573.1,ZNF836,0.177608,MA1137.2,FOSL1::JUNB,0.177608,MA0067.1,Pax2,0.177608
pos_patterns.pattern_24,291,MA0160.3,NR4A2,0.000159079,MA1112.3,NR4A1,0.000159079,MA0160.2,NR4A2,0.000318158
pos_patterns.pattern_25,284,MA0798.3,RFX3,0.000202059,MA0600.3,RFX2,0.000202059,MA0799.1,RFX4,0.000202059
pos_patterns.pattern_26,260,MA0050.2,IRF1,0.00404565,MA1508.1,IKZF1,0.00900056,MA0473.1,ELF1,0.00900056
pos_patterns.pattern_27,258,MA0018.4,CREB1,0.000160882,MA0018.5,CREB1,0.00209024,MA0488.2,JUN,0.00209024
pos_patterns.pattern_28,230,MA0135.2,Lhx3,0.175467,MA0680.3,Pax7,0.175467,MA0135.1,Lhx3,0.181027
pos_patterns.pattern_29,230,MA1137.2,FOSL1::JUNB,0.0172557,MA0099.4,FOS::JUN,0.0172557,MA1128.2,FOSL1::JUN,0.0172557
pos_patterns.pattern_30,214,MA0088.3,ZNF143,3.59745e-21,MA1573.2,Thap11,1.65538e-06,MA1573.1,THAP11,2.90573e-05
pos_patterns.pattern_31,211,MA1119.1,SIX2,1.22597e-07,MA1119.2,SIX2,7.17406e-06,MA2001.1,Six4,3.43835e-05
pos_patterns.pattern_32,187,MA0843.2,TEF,0.00360641,MA0639.2,DBP,0.00360641,MA0043.2,HLF,0.00360641
pos_patterns.pattern_33,170,MA0050.2,IRF1,6.00464e-07,MA0050.3,Irf1,0.000535863,MA0050.4,Irf1,0.00103332
pos_patterns.pattern_34,75,MA0095.2,YY1,9.62751e-05,MA1651.2,ZFP42,0.00577411,MA0748.2,YY2,0.0104356
pos_patterns.pattern_35,44,MA0527.2,ZBTB33,6.46416e-06,MA2503.1,Banp,6.46416e-06,MA0527.1,ZBTB33,2.90887e-05
pos_patterns.pattern_36,30,MA0161.2,NFIC,1.0,MA0748.1,YY2,1.0,,,
pos_patterns.pattern_37,29,MA0052.3,MEF2A,1.32045e-05,MA0497.2,MEF2C,0.000235128,MA0773.1,MEF2D,0.000235128
pos_patterns.pattern_38,29,MA1656.1,ZNF449,1.0,MA0734.3,Gli2,1.0,MA1990.1,Gli1,1.0
pos_patterns.pattern_39,28,MA0679.2,ONECUT1,0.0887577,MA0901.2,HOXB13,0.0887577,MA0040.1,Foxq1,0.124225
pos_patterns.pattern_40,27,MA1513.2,KLF15,0.0237451,MA1959.2,KLF7,0.0237451,MA1516.2,KLF3,0.0237451
pos_patterns.pattern_41,25,MA0139.2,CTCF,1.0,MA0116.1,Znf423,1.0,MA2576.1,ZXDB,1.0
pos_patterns.pattern_42,23,MA1628.1,Zic1::Zic2,0.117096,MA2596.1,ZXDA,0.171154,MA0659.4,Mafg,0.171154
neg_patterns.pattern_0,4979,MA0750.4,ZBTB7A,0.13274,MA0855.1,RXRB,0.337214,MA2511.1,ZNF335,0.337214
neg_patterns.pattern_1,1345,MA0162.1,Egr1,0.259087,MA0472.2,EGR2,0.259087,MA0733.2,EGR4,0.259087
neg_patterns.pattern_2,711,MA1528.1,NFIX,0.00183664,MA1527.2,NFIC,0.00212326,MA1527.1,NFIC,0.0023119
neg_patterns.pattern_3,661,MA1100.2,ASCL1,2.3378e-05,MA1100.3,ASCL1,5.36297e-05,MA1100.1,ASCL1,0.00104847
neg_patterns.pattern_4,603,MA1583.2,ZFP57,0.821208,MA2602.1,ZBED5,0.821208,MA1713.2,ZNF610,0.821208
neg_patterns.pattern_5,585,MA1102.3,CTCFL,0.352379,MA2536.1,PRDM13,0.352379,MA0162.2,EGR1,0.352379
neg_patterns.pattern_6,536,MA2550.1,ZNF275,0.678921,MA0112.1,ESR1,0.678921,MA0155.1,INSM1,0.678921
neg_patterns.pattern_7,445,MA0489.2,Jun,8.37462e-05,MA1988.1,Atf3,0.00026787,MA1928.1,BNC2,0.00026787
neg_patterns.pattern_8,398,MA1974.2,ZNF211,0.75973,MA1974.1,ZNF211,0.75973,MA0083.3,SRF,1.0
neg_patterns.pattern_9,328,MA1653.1,ZNF148,0.432608,MA0528.2,ZNF263,0.432608,MA1961.1,PATZ1,0.432608
neg_patterns.pattern_10,284,MA0017.2,NR2F1,0.211662,MA0017.3,NR2F1,0.211662,MA1535.1,NR2C1,0.211662
neg_patterns.pattern_11,251,MA0139.2,CTCF,7.88553e-09,MA1929.1,CTCF,7.88553e-09,MA0139.1,CTCF,8.05294e-09
neg_patterns.pattern_12,228,MA0067.1,Pax2,0.405514,MA1101.2,BACH2,1.0,MA0014.4,PAX5,1.0
neg_patterns.pattern_13,209,MA0018.1,CREB1,0.0100542,MA0604.1,Atf1,0.0100542,MA0605.1,Atf3,0.0100542
neg_patterns.pattern_14,201,MA0804.2,TBX19,0.0337035,MA0804.1,TBX19,0.0337035,MA1648.2,TCF12,0.0337035
neg_patterns.pattern_15,195,MA0600.3,RFX2,1.48938e-05,MA0509.1,Rfx1,1.48938e-05,MA0510.3,RFX5,1.48938e-05
neg_patterns.pattern_16,178,MA0679.2,ONECUT1,0.255211,MA0681.2,PHOX2B,0.255211,MA0108.3,TBP,0.255211
neg_patterns.pattern_17,164,MA0753.3,ZNF740,0.272802,MA0753.1,ZNF740,0.272802,MA1650.2,ZBTB14,0.272802
neg_patterns.pattern_18,163,MA1656.2,ZNF449,0.160873,MA1656.1,ZNF449,0.160873,MA0733.2,EGR4,0.160873
neg_patterns.pattern_19,159,MA0039.5,KLF4,0.451393,MA0079.1,SP1,0.451393,MA0141.1,Esrrb,0.470593
neg_patterns.pattern_20,143,MA1978.2,ZNF354A,0.43747,MA0845.1,FOXB1,0.43747,MA1978.1,ZNF354A,0.43747
neg_patterns.pattern_21,124,MA0505.1,Nr5a2,0.0011997,MA0505.2,Nr5A2,0.00235463,MA1540.3,Nr5a1,0.00235463
neg_patterns.pattern_22,110,MA2681.1,KLF8,0.0014711,MA0079.3,SP1,0.00418931,MA1513.1,KLF15,0.00479695
neg_patterns.pattern_23,106,MA2521.1,FIZ1,0.00390434,MA0693.4,Vdr,0.0762388,MA0693.2,VDR,0.139693
neg_patterns.pattern_24,105,MA1573.1,THAP11,0.0479527,MA1573.2,Thap11,0.077892,MA0088.3,ZNF143,0.176131
neg_patterns.pattern_25,104,MA0041.3,FOXD3,1.0,MA0041.2,FOXD3,1.0,MA2537.1,SALL3,1.0
neg_patterns.pattern_26,96,MA0088.3,ZNF143,0.0850339,MA1573.2,Thap11,0.088552,MA1625.1,Stat5b,0.0914027
neg_patterns.pattern_27,79,MA1644.1,NFYC,0.0380568,MA0060.3,NFYA,0.0380568,MA0060.1,NFYA,0.0676556
neg_patterns.pattern_28,76,MA0517.2,STAT1::STAT2,0.000578448,MA0517.1,STAT1::STAT2,0.000578448,MA0137.1,STAT1,0.00153798
neg_patterns.pattern_29,73,MA1548.2,PLAGL2,0.0522687,MA2681.1,KLF8,0.0522687,MA1578.2,VEZF1,0.0548889
neg_patterns.pattern_30,59,MA1540.2,NR5A1,0.0717512,MA0505.1,Nr5a2,0.174777,MA1540.3,Nr5a1,0.174777
neg_patterns.pattern_31,42,MA1463.2,ARGFX,0.0473514,MA0075.3,PRRX2,0.0473514,MA0658.2,LHX6,0.0473514
neg_patterns.pattern_32,26,MA1149.1,RARA::RXRG,0.0419441,MA2330.1,ZBTB24,0.055884,MA1149.2,RARA::RXRG,0.0648073
