pattern,num_seqlets,match0,motif0,qval0,match1,motif1,qval1,match2,motif2,qval2
pos_patterns.pattern_0,3954,MA0139.2,CTCF,2.72302e-13,MA0139.1,CTCF,3.17685e-13,MA1929.2,CTCF,3.47941e-13
pos_patterns.pattern_1,3553,MA0790.1,POU4F1,0.175285,MA0791.1,POU4F3,0.175285,MA0683.1,POU4F2,0.17704
pos_patterns.pattern_2,2574,MA2681.1,KLF8,0.000286011,MA0516.3,SP2,0.00166289,MA0162.2,EGR1,0.00249434
pos_patterns.pattern_3,2261,MA1109.2,NEUROD1,0.00010773,MA0668.3,Neurod2,0.000161595,MA1109.1,NEUROD1,0.000161595
pos_patterns.pattern_4,2241,MA0462.3,BATF::JUN,0.00156657,MA1634.2,BATF,0.00156657,MA1988.2,Atf3,0.00156657
pos_patterns.pattern_5,1522,MA0790.1,POU4F1,0.00502036,MA0791.1,POU4F3,0.00502036,MA0790.2,POU4F1,0.00659303
pos_patterns.pattern_6,1510,MA1100.2,ASCL1,0.0331404,MA2536.1,PRDM13,0.0331404,MA1993.1,Neurod2,0.0331404
pos_patterns.pattern_7,1504,MA0502.1,NFYB,0.000655542,MA0060.1,NFYA,0.000655542,MA1644.2,NFYC,0.00562353
pos_patterns.pattern_8,1377,MA0600.1,RFX2,1.20838e-06,MA0509.1,Rfx1,2.1302e-06,MA0600.3,RFX2,2.1302e-06
pos_patterns.pattern_9,932,MA1528.2,NFIX,0.000269392,MA1528.1,NFIX,0.000269392,MA0119.1,NFIC::TLX1,0.000269392
pos_patterns.pattern_10,789,MA0076.3,ELK4,8.51608e-05,MA2329.1,ZBTB11,8.51608e-05,MA0750.3,ZBTB7A,8.51608e-05
pos_patterns.pattern_11,769,MA0025.2,NFIL3,4.1737e-06,MA0043.3,HLF,1.87026e-05,MA0025.3,NFIL3,4.16813e-05
pos_patterns.pattern_12,768,MA1131.2,FOSL2::JUN,0.00019782,MA1131.1,FOSL2::JUN,0.00019782,MA1145.2,FOSL2::JUND,0.000279379
pos_patterns.pattern_13,767,MA0857.1,Rarb,0.0013189,MA1996.1,Nr1H2,0.0013189,MA0858.1,Rarb,0.0013189
pos_patterns.pattern_14,724,MA0007.2,AR,6.56956e-05,MA0113.2,NR3C1,0.000228745,MA2327.1,PGR,0.00119203
pos_patterns.pattern_15,581,MA0506.1,NRF1,4.53362e-06,MA0506.3,Nrf1,8.8195e-06,MA0506.2,Nrf1,1.17593e-05
pos_patterns.pattern_16,571,MA1969.2,THRA,0.000121518,MA1576.2,THRB,0.000121518,MA1969.1,THRA,0.000121518
pos_patterns.pattern_17,520,MA0871.3,TFEC,0.00019768,MA0526.2,USF2,0.00019768,MA0692.1,TFEB,0.00019768
pos_patterns.pattern_18,462,MA0050.2,IRF1,7.65352e-07,MA0050.3,Irf1,0.000195825,MA0050.1,IRF1,0.000195825
pos_patterns.pattern_19,438,MA0799.3,RFX4,2.95659e-06,MA0799.2,RFX4,5.61231e-06,MA1724.2,Rfx6,0.000313963
pos_patterns.pattern_20,421,MA0682.3,PITX1,0.0132942,MA0714.2,PITX3,0.0132942,MA0648.2,GSC,0.0326755
pos_patterns.pattern_21,418,MA1124.1,ZNF24,1.0,MA0790.1,POU4F1,1.0,MA0874.1,Arx,1.0
pos_patterns.pattern_22,303,MA0506.3,Nrf1,0.00196798,MA0506.1,NRF1,0.00257748,MA0506.2,Nrf1,0.00987374
pos_patterns.pattern_23,237,MA2546.1,ZNF131,0.000319551,MA2583.1,ZNF142,0.0104575,MA0506.2,Nrf1,0.0713025
pos_patterns.pattern_24,218,MA0137.2,STAT1,0.00140897,MA0144.1,Stat3,0.00140897,MA0519.2,Stat5a::Stat5b,0.00140897
