pattern,num_seqlets,match0,motif0,qval0,match1,motif1,qval1,match2,motif2,qval2
pos_patterns.pattern_0,6025,MA0161.1,NFIC,0.204074,MA0671.2,NFIX,0.204074,MA1527.2,NFIC,0.204074
pos_patterns.pattern_1,4360,MA1118.1,SIX1,4.255e-05,MA1119.1,SIX2,4.255e-05,MA2001.1,Six4,6.18144e-05
pos_patterns.pattern_2,4270,MA1528.2,NFIX,0.00120779,MA0119.1,NFIC::TLX1,0.00120779,MA1528.1,NFIX,0.00120779
pos_patterns.pattern_3,3696,MA0139.2,CTCF,3.14419e-13,MA0139.1,CTCF,3.66822e-13,MA1929.2,CTCF,5.76434e-13
pos_patterns.pattern_4,2350,MA2681.1,KLF8,1.06959e-05,MA0079.3,SP1,0.000498944,MA1513.1,KLF15,0.00258966
pos_patterns.pattern_5,1104,MA0600.1,RFX2,1.93269e-07,MA0509.1,Rfx1,1.93269e-07,MA0798.1,RFX3,5.44045e-07
pos_patterns.pattern_6,1035,MA0060.1,NFYA,0.000627748,MA0502.1,NFYB,0.00837814,MA1644.2,NFYC,0.0105018
pos_patterns.pattern_7,833,MA0750.3,ZBTB7A,9.06657e-06,MA0076.3,ELK4,9.06657e-06,MA1483.3,ELF2,9.06657e-06
pos_patterns.pattern_8,792,MA0007.2,AR,1.30444e-07,MA0113.2,NR3C1,0.000120147,MA0727.2,NR3C2,0.000663434
pos_patterns.pattern_9,733,MA0462.3,BATF::JUN,0.000463606,MA0835.3,BATF3,0.000463606,MA1634.2,BATF,0.000463606
pos_patterns.pattern_10,707,MA0799.3,RFX4,6.12312e-07,MA0799.2,RFX4,1.02052e-06,MA1724.2,Rfx6,0.000645287
pos_patterns.pattern_11,565,MA0867.2,SOX4,0.0016504,MA0867.3,SOX4,0.00503341,MA0869.3,Sox11,0.00503341
pos_patterns.pattern_12,486,MA0682.1,Pitx1,0.00262775,MA1547.2,PITX2,0.00262775,MA0714.1,PITX3,0.00262775
pos_patterns.pattern_13,447,MA0506.1,NRF1,0.00177636,MA0506.3,Nrf1,0.00177636,MA0506.2,Nrf1,0.00177636
pos_patterns.pattern_14,349,MA0090.1,TEAD1,0.00199317,MA0808.1,TEAD3,0.00327391,MA0090.2,TEAD1,0.00327391
pos_patterns.pattern_15,312,MA0526.5,USF2,3.05286e-06,MA0526.4,USF2,3.05286e-06,MA0831.3,TFE3,4.52533e-06
pos_patterns.pattern_16,294,MA0018.3,CREB1,1.71204e-06,MA1475.1,CREB3L4,1.48475e-05,MA0656.1,JDP2,1.48475e-05
pos_patterns.pattern_17,247,MA2546.1,ZNF131,0.00256434,MA0506.2,Nrf1,0.0062721,MA1650.1,ZBTB14,0.0091282
pos_patterns.pattern_18,244,MA0088.3,ZNF143,5.896660000000001e-23,MA1573.2,Thap11,2.42024e-07,MA1573.1,THAP11,3.42918e-05
pos_patterns.pattern_19,198,MA2593.1,ZNF362,0.00222892,MA1125.2,ZNF384,0.00222892,MA1125.1,ZNF384,0.0170493
pos_patterns.pattern_20,141,MA1105.1,GRHL2,1.13164e-09,MA0647.1,GRHL1,0.0019092,MA1105.2,GRHL2,0.00224736
pos_patterns.pattern_21,119,MA0639.2,DBP,0.00199146,MA0843.2,TEF,0.00199146,MA0043.2,HLF,0.00199146
pos_patterns.pattern_22,94,MA0782.2,PKNOX1,1.0,,,,,,
pos_patterns.pattern_23,88,MA0095.2,YY1,0.0369022,MA0095.3,Yy1,0.149927,MA0864.1,E2F2,0.192747
pos_patterns.pattern_24,33,MA1929.2,CTCF,2.9705e-08,MA1929.1,CTCF,2.9705e-08,MA1725.2,ZNF189,0.176843
pos_patterns.pattern_25,24,MA0476.2,FOS,0.000881269,MA1142.2,FOSL1::JUND,0.0019658,MA0462.1,BATF::JUN,0.0019658
pos_patterns.pattern_26,23,MA2001.1,Six4,0.00109012,MA1118.1,SIX1,0.00744776,MA1119.2,SIX2,0.0133652
pos_patterns.pattern_27,23,MA2323.1,Pgr,0.00271729,MA0007.2,AR,0.0107506,MA0113.2,NR3C1,0.0107506
pos_patterns.pattern_28,23,MA1933.2,ELK1::SREBF2,0.00658358,MA1933.1,ELK1::SREBF2,0.00658358,MA0062.2,Gabpa,0.032006
