pattern,num_seqlets,match0,motif0,qval0,match1,motif1,qval1,match2,motif2,qval2
pos_patterns.pattern_0,3939,MA1929.1,CTCF,1.59076e-15,MA1930.2,CTCF,4.33446e-15,MA1930.1,CTCF,4.33446e-15
pos_patterns.pattern_1,3606,MA0790.1,POU4F1,0.477991,MA0791.1,POU4F3,0.477991,MA0683.1,POU4F2,0.598697
pos_patterns.pattern_2,2453,MA0682.1,Pitx1,0.00749127,MA0712.1,OTX2,0.00749127,MA1480.2,DPRX,0.00749127
pos_patterns.pattern_3,2327,MA0790.1,POU4F1,0.00331638,MA0791.1,POU4F3,0.00331638,MA0791.2,POU4F3,0.00560614
pos_patterns.pattern_4,2028,MA2681.1,KLF8,6.51016e-05,MA0079.3,SP1,0.000725213,MA1513.1,KLF15,0.00200219
pos_patterns.pattern_5,1909,MA0071.1,RORA,0.00608066,MA1150.2,RORB,0.00841399,MA1111.2,NR2F2,0.00841399
pos_patterns.pattern_6,1450,MA1928.2,BNC2,0.00188131,MA0477.3,FOSL1,0.00188131,MA0490.3,JUNB,0.00188131
pos_patterns.pattern_7,1381,MA0007.2,AR,1.36074e-05,MA0113.2,NR3C1,0.000276367,MA2327.1,PGR,0.00241865
pos_patterns.pattern_8,1326,MA1528.1,NFIX,0.000689569,MA1527.2,NFIC,0.000689569,MA1527.1,NFIC,0.000758858
pos_patterns.pattern_9,1277,MA0060.1,NFYA,0.000592697,MA0502.1,NFYB,0.00215645,MA1644.2,NFYC,0.00679181
pos_patterns.pattern_10,956,MA0600.1,RFX2,1.36657e-07,MA0509.1,Rfx1,1.36657e-07,MA0798.1,RFX3,1.70824e-07
pos_patterns.pattern_11,948,MA1969.2,THRA,0.000162703,MA1969.1,THRA,0.000180268,MA1576.2,THRB,0.000180268
pos_patterns.pattern_12,848,MA1993.1,Neurod2,2.57937e-05,MA1472.1,BHLHA15,3.86467e-05,MA1997.1,Olig2,4.78122e-05
pos_patterns.pattern_13,633,MA1655.1,ZNF341,1.0,MA1629.2,Zic2,1.0,MA1655.2,ZNF341,1.0
pos_patterns.pattern_14,625,MA0506.3,Nrf1,0.000199417,MA0506.1,NRF1,0.000199417,MA0506.2,Nrf1,0.000258457
pos_patterns.pattern_15,609,MA0048.3,NHLH1,0.000148033,MA1100.3,ASCL1,0.0067858,MA0500.3,MYOG,0.0067858
pos_patterns.pattern_16,581,MA1124.1,ZNF24,0.641067,MA0790.1,POU4F1,0.641067,MA0791.1,POU4F3,0.641067
pos_patterns.pattern_17,564,MA1131.2,FOSL2::JUN,0.000112925,MA1131.1,FOSL2::JUN,0.000112925,MA1145.2,FOSL2::JUND,0.000249115
pos_patterns.pattern_18,462,MA0062.2,Gabpa,3.46117e-06,MA0076.3,ELK4,2.15707e-05,MA0076.2,ELK4,2.87609e-05
pos_patterns.pattern_19,451,MA0799.3,RFX4,1.00847e-05,MA0799.2,RFX4,1.81101e-05,MA1724.2,Rfx6,0.000155071
pos_patterns.pattern_20,412,MA0050.2,IRF1,3.10601e-05,MA0517.2,STAT1::STAT2,3.10601e-05,MA0517.1,STAT1::STAT2,3.28826e-05
pos_patterns.pattern_21,406,MA0773.1,MEF2D,2.19161e-08,MA0052.3,MEF2A,3.82094e-08,MA0660.1,MEF2B,1.50477e-07
pos_patterns.pattern_22,393,MA0719.2,RHOXF1,1.0,MA0714.2,PITX3,1.0,MA0682.3,PITX1,1.0
pos_patterns.pattern_23,352,MA0025.1,NFIL3,0.0975531,MA0025.3,NFIL3,0.0975531,MA0043.4,HLF,0.0975531
pos_patterns.pattern_24,303,MA2546.1,ZNF131,0.000820048,MA2583.1,ZNF142,0.00640425,MA1650.1,ZBTB14,0.0107018
pos_patterns.pattern_25,250,MA1119.1,SIX2,3.31523e-06,MA1118.1,SIX1,7.89036e-06,MA2001.1,Six4,4.70878e-05
pos_patterns.pattern_26,249,MA0715.1,PROP1,0.00229647,MA0713.1,PHOX2A,0.00433094,MA0681.1,Phox2b,0.00433094
pos_patterns.pattern_27,228,MA0871.3,TFEC,0.000279597,MA0831.1,TFE3,0.000279597,MA0692.1,TFEB,0.000279597
pos_patterns.pattern_28,213,MA0088.3,ZNF143,2.49202e-11,MA1573.1,THAP11,4.74294e-09,MA1573.2,Thap11,8.52198e-07
pos_patterns.pattern_29,161,MA0032.2,FOXC1,0.362218,MA1607.2,Foxl2,0.362218,MA0040.2,Foxq1,0.362218
pos_patterns.pattern_30,119,MA0095.2,YY1,0.000732462,MA0748.3,YY2,0.00614468,MA0748.2,YY2,0.00807971
pos_patterns.pattern_31,100,MA1624.2,Stat5a,0.000901905,MA0519.2,Stat5a::Stat5b,0.0011452,MA1624.1,Stat5a,0.00120254
pos_patterns.pattern_32,70,MA1713.1,ZNF610,0.151845,MA1100.1,ASCL1,0.220151,MA1529.2,NHLH2,0.220151
pos_patterns.pattern_33,70,MA0137.4,STAT1,0.0173273,MA0144.3,STAT3,0.0173273,MA0137.3,STAT1,0.0173273
pos_patterns.pattern_34,65,MA0527.2,ZBTB33,9.39917e-07,MA0527.1,ZBTB33,2.46349e-06,MA2503.1,Banp,2.46349e-06
pos_patterns.pattern_35,62,MA1480.2,DPRX,0.393367,MA0668.2,Neurod2,0.393367,MA0829.2,SREBF1,0.393367
pos_patterns.pattern_36,40,MA0516.3,SP2,0.104678,MA1564.2,SP9,0.104678,MA0472.2,EGR2,0.104678
pos_patterns.pattern_37,39,MA1929.2,CTCF,0.00821593,MA1929.1,CTCF,0.00821593,MA0697.3,Zic3,0.253011
pos_patterns.pattern_38,27,MA0139.2,CTCF,0.00924287,MA0461.1,Atoh1,0.0532233,MA1467.3,Atoh1,0.105095
pos_patterns.pattern_39,22,MA0099.3,FOS::JUN,0.0119434,MA1138.1,FOSL2::JUNB,0.0119434,MA1142.1,FOSL1::JUND,0.0119434
neg_patterns.pattern_0,6093,MA0750.4,ZBTB7A,0.000135602,MA0855.1,RXRB,0.281794,MA0114.3,Hnf4a,0.281794
neg_patterns.pattern_1,5691,MA0108.3,TBP,1.0,,,,,,
neg_patterns.pattern_2,1748,MA0738.1,HIC2,0.374661,MA2578.1,ZBTB8A,0.374661,MA1986.1,ZNF692,0.374661
neg_patterns.pattern_3,1701,MA0138.1,REST,0.524805,MA0138.3,REST,0.524805,MA0138.2,REST,0.524805
neg_patterns.pattern_4,1009,MA0681.2,PHOX2B,0.0303485,MA1125.1,ZNF384,0.0553092,MA2593.1,ZNF362,0.125996
neg_patterns.pattern_5,827,MA2521.1,FIZ1,0.0235911,MA0693.4,Vdr,0.0353188,MA0505.1,Nr5a2,0.0975525
neg_patterns.pattern_6,693,MA0033.1,FOXL1,0.472154,MA0845.1,FOXB1,0.472154,MA0601.1,Arid3b,0.472154
neg_patterns.pattern_7,619,MA2489.1,ZFP28,1.0,MA0592.2,Esrra,1.0,MA0681.2,PHOX2B,1.0
neg_patterns.pattern_8,479,MA2506.1,MYT1,0.246229,MA2488.1,ZBTB40,0.356027,MA2682.1,MYT1L,0.356027
neg_patterns.pattern_9,477,MA0790.1,POU4F1,0.266256,MA0791.1,POU4F3,0.266256,MA0683.1,POU4F2,0.268162
neg_patterns.pattern_10,466,MA0753.2,ZNF740,0.00783636,MA0753.3,ZNF740,0.00783636,MA0753.1,ZNF740,0.00783636
neg_patterns.pattern_11,449,MA0790.1,POU4F1,0.303361,MA0791.1,POU4F3,0.303361,MA0683.1,POU4F2,0.377195
neg_patterns.pattern_12,449,MA0790.2,POU4F1,0.292089,MA0791.2,POU4F3,0.292089,MA0790.1,POU4F1,0.292089
neg_patterns.pattern_13,442,MA0742.2,KLF12,0.069208,MA1513.2,KLF15,0.069208,MA1513.1,KLF15,0.069208
neg_patterns.pattern_14,367,MA1102.3,CTCFL,0.042244,MA1723.2,PRDM9,0.101894,MA1723.1,PRDM9,0.101894
neg_patterns.pattern_15,367,MA0068.1,Pax4,0.00543588,MA0073.2,RREB1,0.00543588,MA0073.1,RREB1,0.00543588
neg_patterns.pattern_16,353,MA0712.1,OTX2,0.00849649,MA0648.2,GSC,0.00849649,MA0682.3,PITX1,0.00849649
neg_patterns.pattern_17,340,MA0476.2,FOS,0.000561611,MA0476.1,FOS,0.000561611,MA1101.3,BACH2,0.000561611
neg_patterns.pattern_18,338,MA0790.2,POU4F1,0.00236862,MA0791.2,POU4F3,0.00236862,MA0790.1,POU4F1,0.00236862
neg_patterns.pattern_19,318,MA1993.1,Neurod2,0.443682,MA1976.2,ZNF320,0.443682,MA0499.1,Myod1,0.443682
neg_patterns.pattern_20,309,MA1993.1,Neurod2,0.00221512,MA1997.1,Olig2,0.00328727,MA0091.1,TAL1::TCF3,0.00606536
neg_patterns.pattern_21,300,MA0071.1,RORA,0.00523557,MA1112.3,NR4A1,0.00739716,MA0160.3,NR4A2,0.0085794
neg_patterns.pattern_22,298,MA1969.2,THRA,0.000434862,MA1576.2,THRB,0.000434862,MA1576.1,THRB,0.000434862
neg_patterns.pattern_23,295,MA1125.1,ZNF384,0.478183,MA0681.2,PHOX2B,0.478183,MA0041.2,FOXD3,0.478183
neg_patterns.pattern_24,265,MA0071.1,RORA,0.888133,MA0072.2,RORA,0.888133,MA0154.3,EBF1,0.888133
neg_patterns.pattern_25,256,MA0790.1,POU4F1,0.00238958,MA0791.1,POU4F3,0.00238958,MA0683.1,POU4F2,0.00488042
neg_patterns.pattern_26,246,MA1999.2,Prdm5,1.0,,,,,,
neg_patterns.pattern_27,221,MA0007.2,AR,1.92782e-07,MA0113.2,NR3C1,8.89141e-06,MA0727.2,NR3C2,0.0023415
neg_patterns.pattern_28,211,MA1538.1,NR2F1,0.221662,MA2337.1,Nr1h3,0.221662,MA1146.1,NR1H4::RXRA,0.221662
neg_patterns.pattern_29,206,MA1547.2,PITX2,0.00247131,MA0712.2,OTX2,0.00247131,MA0682.1,Pitx1,0.00247131
neg_patterns.pattern_30,193,MA0496.3,MAFK,9.65853e-05,MA1633.1,BACH1,9.65853e-05,MA0495.2,MAFF,9.65853e-05
neg_patterns.pattern_31,178,MA1573.1,THAP11,0.177988,MA0144.3,STAT3,0.177988,MA1116.2,RBPJ,0.177988
neg_patterns.pattern_32,162,MA0714.2,PITX3,0.0981077,MA0468.1,DUX4,0.0981077,MA0681.2,PHOX2B,0.0981077
neg_patterns.pattern_33,150,MA1522.1,MAZ,0.112263,MA0753.2,ZNF740,0.129279,MA1578.2,VEZF1,0.129279
neg_patterns.pattern_34,145,MA1527.2,NFIC,4.55699e-05,MA1528.1,NFIX,4.55699e-05,MA1527.1,NFIC,4.55699e-05
neg_patterns.pattern_35,123,MA1578.2,VEZF1,0.412606,MA1518.2,Lhx1,0.412606,MA1518.3,Lhx1,0.412606
neg_patterns.pattern_36,116,MA0139.2,CTCF,2.86772e-06,MA1929.1,CTCF,2.86772e-06,MA1930.2,CTCF,2.86772e-06
neg_patterns.pattern_37,115,MA0631.1,Six3,0.231722,MA0631.2,Six3,0.612111,MA0700.3,LHX2,0.612111
neg_patterns.pattern_38,102,MA1977.2,ZNF324,1.0,MA2584.1,DNTTIP1,1.0,MA0070.1,PBX1,1.0
neg_patterns.pattern_39,101,MA0462.1,BATF::JUN,0.000782598,MA1101.3,BACH2,0.000782598,MA0476.2,FOS,0.000782598
neg_patterns.pattern_40,97,MA0753.3,ZNF740,0.00352693,MA0753.1,ZNF740,0.00352693,MA0039.4,KLF4,0.0134272
neg_patterns.pattern_41,93,MA0799.3,RFX4,0.000255544,MA0509.1,Rfx1,0.000255544,MA0600.1,RFX2,0.000453489
neg_patterns.pattern_42,91,MA1124.1,ZNF24,0.800927,MA0874.1,Arx,1.0,MA0790.1,POU4F1,1.0
