pattern,num_seqlets,match0,motif0,qval0,match1,motif1,qval1,match2,motif2,qval2
pos_patterns.pattern_0,9067,MA0161.1,NFIC,0.122709,MA2542.1,SCAND3,0.122709,MA0671.2,NFIX,0.122709
pos_patterns.pattern_1,7260,MA1528.2,NFIX,0.0010274,MA0119.1,NFIC::TLX1,0.0010274,MA1528.1,NFIX,0.0010274
pos_patterns.pattern_2,6176,MA1118.1,SIX1,1.22476e-05,MA2001.1,Six4,1.22476e-05,MA1119.1,SIX2,1.35657e-05
pos_patterns.pattern_3,2134,MA1929.1,CTCF,3.3728e-16,MA0139.2,CTCF,3.3728e-16,MA0139.1,CTCF,6.7456e-16
pos_patterns.pattern_4,1275,MA0600.1,RFX2,2.92691e-06,MA0509.1,Rfx1,2.92691e-06,MA0600.3,RFX2,5.77968e-06
pos_patterns.pattern_5,833,MA0007.2,AR,1.71223e-05,MA0113.2,NR3C1,1.74418e-05,MA0727.2,NR3C2,3.57958e-05
pos_patterns.pattern_6,793,MA0799.3,RFX4,2.62454e-06,MA0799.2,RFX4,5.19899e-06,MA1724.2,Rfx6,0.00051531
pos_patterns.pattern_7,775,MA2681.1,KLF8,3.18123e-05,MA0079.3,SP1,0.00189787,MA1513.1,KLF15,0.00286024
pos_patterns.pattern_8,622,MA1547.2,PITX2,0.00554451,MA0682.1,Pitx1,0.00572815,MA0714.1,PITX3,0.00572815
pos_patterns.pattern_9,616,MA0867.2,SOX4,0.00166613,MA0869.3,Sox11,0.00193009,MA0867.3,SOX4,0.00366198
pos_patterns.pattern_10,477,MA0090.4,TEAD1,0.0182085,MA1121.1,TEAD2,0.0182085,MA0808.1,TEAD3,0.0182085
pos_patterns.pattern_11,477,MA1968.2,TFCP2,0.000657998,MA0647.2,GRHL1,0.0021367,MA1968.1,TFCP2,0.0021367
pos_patterns.pattern_12,357,MA0461.1,Atoh1,0.0444086,MA0633.3,Twist2,0.0444086,MA1635.2,BHLHE22,0.0444086
pos_patterns.pattern_13,318,MA0491.1,JUND,4.46236e-05,MA0099.1,Fos::Jun,8.02793e-05,MA0477.1,FOSL1,8.02793e-05
pos_patterns.pattern_14,313,MA0502.1,NFYB,0.000290523,MA0060.1,NFYA,0.000290523,MA1644.2,NFYC,0.00233768
pos_patterns.pattern_15,270,MA0050.3,Irf1,0.000302839,MA0050.4,Irf1,0.000455841,MA1418.2,IRF3,0.000455841
pos_patterns.pattern_16,212,MA0692.1,TFEB,0.000711493,MA0831.1,TFE3,0.000711493,MA0828.1,SREBF2,0.000711493
pos_patterns.pattern_17,88,MA0139.2,CTCF,0.0640279,MA0139.1,CTCF,0.0711898,MA1929.2,CTCF,0.12794
pos_patterns.pattern_18,76,MA0025.1,NFIL3,0.0113389,MA0025.3,NFIL3,0.0113389,MA0843.2,TEF,0.0113389
pos_patterns.pattern_19,65,MA2593.1,ZNF362,0.00181728,MA2323.1,Pgr,0.00361297,MA1125.1,ZNF384,0.00416631
pos_patterns.pattern_20,63,MA0506.1,NRF1,0.00256019,MA0506.3,Nrf1,0.00256019,MA0506.2,Nrf1,0.00341358
pos_patterns.pattern_21,49,MA1964.1,SMAD2,1.0,MA0739.1,Hic1,1.0,MA0510.1,RFX5,1.0
pos_patterns.pattern_22,39,MA0474.4,Erg,2.26259e-05,MA0473.3,ELF1,2.26259e-05,MA0062.4,GABPA,2.26259e-05
pos_patterns.pattern_23,21,MA1929.2,CTCF,0.000565694,MA1929.1,CTCF,0.000565694,MA1725.2,ZNF189,0.117036
neg_patterns.pattern_0,65,MA0750.4,ZBTB7A,0.0228538,MA0114.3,Hnf4a,0.297039,MA0855.1,RXRB,0.297039
neg_patterns.pattern_1,45,MA1718.1,ZNF8,1.0,MA0756.3,ONECUT2,1.0,,,
neg_patterns.pattern_2,33,MA0607.2,BHLHA15,1.0,MA0698.2,ZBTB18,1.0,MA1568.2,TCF21,1.0
neg_patterns.pattern_3,33,MA1643.2,NFIB,0.0175795,MA1528.1,NFIX,0.0175795,MA1643.1,NFIB,0.0175795
neg_patterns.pattern_4,28,MA1974.1,ZNF211,1.0,MA2537.1,SALL3,1.0,MA2548.1,ZNF226,1.0
neg_patterns.pattern_5,28,MA0461.3,Atoh1,0.116238,MA0607.2,BHLHA15,0.116238,MA0623.2,NEUROG1,0.116238
neg_patterns.pattern_6,28,MA0695.2,ZBTB7C,0.015855,MA0695.3,ZBTB7C,0.015855,MA0695.1,ZBTB7C,0.015855
neg_patterns.pattern_7,25,MA2544.1,ZKSCAN4,1.0,MA0108.3,TBP,1.0,MA1974.2,ZNF211,1.0
