pattern,num_seqlets,match0,motif0,qval0,match1,motif1,qval1,match2,motif2,qval2
pos_patterns.pattern_0,4524,MA0461.1,Atoh1,0.00036786,MA1467.2,Atoh1,0.000865225,MA1100.1,ASCL1,0.000865225
pos_patterns.pattern_1,4323,MA1118.1,SIX1,1.13593e-06,MA1119.1,SIX2,3.51251e-06,MA2001.1,Six4,3.51251e-06
pos_patterns.pattern_2,3517,MA0648.2,GSC,0.00755332,MA0682.3,PITX1,0.00755332,MA0714.2,PITX3,0.00755332
pos_patterns.pattern_3,3001,MA0804.2,TBX19,4.52224e-06,MA0804.1,TBX19,8.95167e-06,MA0009.2,TBXT,2.03951e-05
pos_patterns.pattern_4,2302,MA0139.2,CTCF,1.86984e-15,MA1929.1,CTCF,1.86984e-15,MA0139.1,CTCF,1.95469e-15
pos_patterns.pattern_5,1812,MA1988.1,Atf3,4.94468e-05,MA0478.2,FOSL2,5.9792e-05,MA0099.4,FOS::JUN,5.9792e-05
pos_patterns.pattern_6,1724,MA0079.3,SP1,1.5766e-09,MA2681.1,KLF8,1.04843e-06,MA0079.2,SP1,1.6363e-05
pos_patterns.pattern_7,1566,MA1528.2,NFIX,0.00204041,MA0119.1,NFIC::TLX1,0.00204041,MA1528.1,NFIX,0.00204041
pos_patterns.pattern_8,1388,MA0007.2,AR,3.87208e-05,MA0113.2,NR3C1,4.7232e-05,MA0727.2,NR3C2,0.00181679
pos_patterns.pattern_9,1231,MA0018.1,CREB1,0.00415364,MA0604.1,Atf1,0.0213275,MA1143.2,FOSL1::JUND,0.0213275
pos_patterns.pattern_10,1230,MA0072.2,RORA,2.97375e-05,MA0072.1,RORA,3.71719e-05,MA1151.2,RORC,0.00116244
pos_patterns.pattern_11,1174,MA0600.1,RFX2,8.95511e-08,MA0509.1,Rfx1,1.30942e-07,MA0798.1,RFX3,1.60665e-07
pos_patterns.pattern_12,980,MA0052.2,MEF2A,1.53808e-07,MA0052.5,MEF2A,1.53808e-07,MA0660.1,MEF2B,1.189e-05
