"Stem_cells","Gonadotrophs","Corticotrophs","Melanotrophs","Lactotrophs","Somatotrophs","Thyrotrophs"
"NFIC","ZBTB7A","CTCF","ZBTB7A","POU4F1","POU4F1","POU4F1"
"ZNF211","CTCF","Neurod2","NFIX","","CTCF","ZBTB7A"
"ZBTB7A","Nr5a2","SP1","CTCF","CTCF","KLF8","TBP"
"NFIX","BATF::JUN","ZBTB7A","Jun","ZBTB7A","NEUROD1","CTCF"
"JUN","SIX2","NFIX","ASCL1","Atoh1","BATF::JUN","RORA"
"SIX1","Pitx1","SIX1","KLF8","BATF3","ASCL1","Pitx1"
"CTCF","TFAP4::ETV1","PITX3","Tcf12","KLF8","NFYB","KLF8"
"SALL3","NFIX","Atf3","Lhx1","NFIC::TLX1","RFX2","HIC2"
"KLF8","KLF8","RFX2","RFX2","PHOX2B","NFIX","REST"
"FOXB1","ZNF362","NFYA","CREB1","Lhx3","THRA","AR"
